no,image_name,detect_num,type,type_id,image_height,image_width,figure,points,count,center_x,center_y,area,defect_height,defect_width,crack_straight,crack_ratio of perimeter and area,crack_cir,date
11,ST1_WB_SI_DETECT_0015,0001,etc,etc_0001,645,2044,,"[[1470, 242], [1470, 296], [1473, 296], [1474, 297], [1474, 305], [1493, 305], [1493, 298], [1488, 293], [1488, 291], [1487, 290], [1487, 287], [1486, 286], [1486, 280], [1487, 279], [1487, 277], [1488, 276], [1488, 274], [1489, 273], [1489, 272], [1490, 271], [1490, 269], [1492, 267], [1492, 265], [1493, 264], [1493, 263], [1494, 262], [1497, 262], [1497, 255], [1494, 255], [1492, 253]]",30,,,1250.0,27.0,63.0,,,,2025-09-02
12,ST1_WB_SI_DETECT_0016,0001,crack,crack_0001,622,1946,,"[[722, 222], [732, 234], [738, 236], [742, 238], [746, 240], [751, 243], [756, 246], [765, 255], [768, 260], [770, 264], [772, 268], [774, 273], [776, 280], [778, 294], [776, 300], [774, 304], [772, 308], [769, 314], [777, 309], [780, 303], [782, 297], [784, 290], [782, 280], [780, 274], [778, 267], [776, 263], [773, 258], [769, 251], [757, 239], [753, 237]]",30,,,687.5,62.0,92.0,,,,2025-09-02
13,ST1_WB_SI_DETECT_0016,0002,etc,etc_0002,622,1946,,"[[1546, 262], [1546, 291], [1549, 291], [1550, 292], [1550, 293], [1551, 294], [1551, 297], [1552, 298], [1552, 299], [1553, 300], [1553, 305], [1555, 305], [1555, 302], [1556, 301], [1557, 301], [1558, 300], [1558, 299], [1559, 298], [1559, 296], [1560, 295], [1560, 287], [1559, 286], [1559, 284], [1560, 283], [1560, 276], [1559, 275], [1559, 267], [1558, 266], [1558, 262]]",29,,,473.0,14.0,43.0,,,,2025-09-02
14,ST1_WB_SI_DETECT_0017,0001,crack,crack_0001,616,1942,,"[[726, 210], [731, 218], [737, 219], [740, 221], [743, 222], [746, 224], [749, 225], [755, 230], [769, 244], [771, 247], [772, 251], [774, 254], [775, 258], [777, 262], [778, 271], [778, 277], [777, 283], [775, 286], [774, 289], [770, 294], [768, 301], [772, 296], [776, 294], [781, 288], [782, 285], [784, 281], [783, 263], [781, 259], [780, 253], [778, 250]]",30,,,691.5,58.0,91.0,,,,2025-09-02
15,ST1_WB_SI_DETECT_0022,0001,etc,etc_0001,567,1816,,"[[1286, 230], [1286, 265], [1289, 265], [1291, 267], [1291, 269], [1292, 270], [1292, 271], [1293, 272], [1293, 274], [1294, 275], [1294, 278], [1295, 279], [1296, 279], [1297, 280], [1298, 280], [1299, 279], [1300, 279], [1301, 278], [1305, 278], [1305, 269], [1302, 269], [1301, 268], [1301, 254], [1300, 253], [1300, 237], [1299, 236], [1299, 230]]",27,,,653.0,19.0,50.0,,,,2025-09-02
16,ST1_WB_SI_DETECT_0032,0001,etc,etc_0001,595,1932,,"[[662, 258], [662, 276], [665, 276], [667, 278], [667, 279], [669, 281], [669, 282], [671, 284], [671, 285], [672, 286], [672, 287], [674, 289], [674, 290], [677, 293], [678, 293], [679, 292], [680, 292], [682, 290], [685, 290], [685, 270], [682, 270], [677, 265], [676, 265], [674, 263], [673, 263], [671, 261], [671, 258]]",27,,,524.0,23.0,35.0,,,,2025-09-02
17,ST1_WB_SI_DETECT_0035,0001,crack,crack_0001,608,1934,,"[[766, 2], [766, 49], [770, 49], [770, 23], [771, 22], [771, 19], [772, 18], [772, 8], [773, 7], [773, 2]]",10,,,230.5,7.0,47.0,,,,2025-09-02
18,ST1_WB_SI_DETECT_0039,0001,etc,etc_0001,575,1860,,"[[1466, 270], [1466, 284], [1472, 284], [1473, 285], [1474, 285], [1475, 284], [1477, 284], [1480, 281], [1480, 280], [1482, 278], [1485, 278], [1485, 275], [1482, 275], [1481, 274], [1481, 270]]",15,,,216.0,19.0,15.0,,,,2025-09-02
19,ST1_WB_SI_DETECT_0041,0001,etc,etc_0001,564,1844,,"[[1298, 238], [1298, 249], [1301, 249], [1303, 247], [1304, 247], [1304, 246], [1309, 241], [1309, 238]]",8,,,89.5,11.0,11.0,,,,2025-09-02
20,ST1_WB_SI_DETECT_0042,0001,etc,etc_0001,579,1872,,"[[1546, 266], [1546, 270], [1543, 273], [1543, 274], [1542, 275], [1538, 275], [1538, 285], [1556, 285], [1556, 282], [1557, 281], [1558, 281], [1559, 280], [1560, 280], [1561, 279], [1565, 279], [1565, 266]]",16,,,405.5,27.0,19.0,,,,2025-09-02
21,ST1_WB_SI_DETECT_0046,0001,etc,etc_0001,599,1918,,"[[1298, 286], [1298, 301], [1309, 301], [1309, 297], [1310, 296], [1313, 296], [1313, 293], [1310, 293], [1309, 292], [1309, 291], [1308, 290], [1308, 286]]",12,,,173.5,15.0,15.0,,,,2025-09-02
22,ST1_WB_SI_DETECT_0047,0001,etc,etc_0001,596,1920,,"[[1606, 234], [1606, 249], [1610, 249], [1611, 250], [1611, 253], [1619, 253], [1619, 250], [1621, 248], [1625, 248], [1625, 239], [1621, 239], [1620, 238], [1620, 234]]",13,,,289.0,19.0,19.0,,,,2025-09-02
23,ST1_WB_SI_DETECT_0048,0001,etc,etc_0001,610,1960,,"[[1250, 266], [1250, 281], [1261, 281], [1261, 266]]",4,,,165.0,11.0,15.0,,,,2025-09-02
24,ST1_WB_SI_DETECT_0051,0001,crack,crack_0001,640,2004,,"[[1002, 522], [1002, 526], [1006, 526], [1007, 527], [1009, 527], [1010, 528], [1011, 528], [1012, 529], [1013, 529], [1015, 531], [1016, 531], [1017, 532], [1018, 532], [1020, 534], [1020, 537], [1023, 537], [1023, 528], [1021, 528], [1019, 526], [1019, 522]]",20,,,145.0,21.0,15.0,,,,2025-09-02
25,ST1_WB_SI_DETECT_0057,0001,etc,etc_0001,696,2176,,"[[1854, 282], [1854, 308], [1858, 308], [1862, 312], [1863, 311], [1867, 311], [1868, 310], [1868, 309], [1869, 308], [1869, 302], [1870, 301], [1870, 298], [1871, 297], [1871, 296], [1873, 294], [1877, 294], [1877, 289], [1873, 289], [1870, 286], [1870, 282]]",20,,,481.0,23.0,30.0,,,,2025-09-02
26,ST1_WB_SI_DETECT_0060,0001,etc,etc_0001,682,2152,,"[[442, 302], [442, 308], [447, 308], [448, 309], [460, 309], [461, 308], [465, 308], [466, 307], [467, 307], [468, 306], [468, 302]]",11,,,166.0,26.0,7.0,,,,2025-09-02
27,ST1_WB_SI_DETECT_0061,0001,etc,etc_0001,676,2148,,"[[1570, 322], [1570, 337], [1593, 337], [1593, 328], [1590, 328], [1588, 326], [1588, 322]]",7,,,317.0,23.0,15.0,,,,2025-09-02
28,ST1_WB_SI_DETECT_0064,0001,crack,crack_0001,645,2048,,"[[1518, 266], [1518, 269], [1516, 271], [1514, 271], [1513, 272], [1512, 272], [1511, 273], [1510, 273], [1509, 274], [1508, 274], [1507, 275], [1506, 275], [1505, 276], [1504, 276], [1503, 277], [1502, 277], [1501, 278], [1498, 278], [1498, 289], [1503, 289], [1503, 286], [1505, 284], [1506, 284], [1509, 281], [1510, 281], [1511, 280], [1513, 280], [1514, 279], [1515, 279], [1517, 277]]",30,,,303.5,37.0,23.0,,,,2025-09-02
29,ST1_WB_SI_DETECT_0065,0001,etc,etc_0001,621,1980,,"[[1506, 262], [1506, 285], [1511, 285], [1511, 282], [1514, 279], [1515, 279], [1519, 275], [1519, 269], [1517, 267], [1516, 267], [1514, 265], [1514, 262]]",12,,,222.5,13.0,23.0,,,,2025-09-02
